,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
806,2019-06-10,Single Family Residential,8344 Loyola Blvd,Los Angeles,CA,90045.0,1857200,6.0,7.0,5409.0,7501.0,,226.0,343.0,,19-425132,33.9618949,-118.4163331,westchester_03_SFH_4_plus_beds.csv,1,Westchester
1067,2018-03-07,Single Family Residential,129 8Th St,Manhattan Beach,CA,90266.0,5250000,5.0,4.0,3351.0,2710.0,,689.0,1567.0,,17-276612,33.882172,-118.4097409,manhattan-beach_2.5M_plus.csv,1,Manhattan Beach
3459,2019-03-26,Mobile/Manufactured Home,17701 Avalon Blvd #68,Carson,CA,90746.0,180000,2.0,1.75,1169.7239057239058,79801.5,,305.0,,730.0,18-402926,33.8693399,-118.26704679999999,carson_nosfh_nocondo.csv,1,Carson
3598,2018-02-06,Mobile/Manufactured Home,17700 Avalon #166,Carson,CA,90746.0,137500,3.0,2.0,1600.0,79801.5,,718.0,86.0,540.0,17-297374,33.869200899999996,-118.26395420000001,carson_nosfh_nocondo.csv,1,Carson
3600,2018-10-22,Mobile/Manufactured Home,17700 S Avalon Blvd #403,Carson,CA,90746.0,165000,3.0,1.75,1440.0,79801.5,,460.0,115.0,550.0,18-354180,33.869200899999996,-118.26395420000001,carson_nosfh_nocondo.csv,1,Carson
3718,2019-09-22,Mobile/Manufactured Home,17700 S Avalon #33,Carson,CA,90746.0,240000,2.0,2.0,1530.0,79801.5,,125.0,157.0,590.0,19-483958,33.869200899999996,-118.26395420000001,carson_nosfh_nocondo.csv,1,Carson
3728,2018-09-24,Mobile/Manufactured Home,22516 Normandie Unit B43,Torrance,CA,90502.0,22000,1.0,1.0,1169.7239057239058,79801.5,,488.0,,895.0,18-343458,33.821781,-118.29781100000001,carson_nosfh_nocondo.csv,1,Carson
6272,2019-04-30,Condo/Co-op,8300 Manitoba St #237,Playa Del Rey,CA,90293.0,712000,2.0,2.0,986.0,65254.0,,267.0,722.0,365.0,19-444090,33.9541634,-118.438649,playa-del-rey_02_notSFHs.csv,1,Playa Del Rey
8223,2018-04-10,Single Family Residential,8123 Zitola Ter,Playa Del Rey,CA,90293.0,3200000,5.0,3.5,6172.0,25825.0,,652.0,518.0,,18-302456,33.961169,-118.4442014,playa-del-rey_01_SFHs.csv,1,Playa Del Rey
11327,2018-02-10,Single Family Residential,1333 Mcdonald Ave,Wilmington,CA,90744.0,520000,3.0,2.0,1460.0,6901.0,,714.0,356.0,,17-290892,33.7896705,-118.27197360000001,wilmington_0_to_3_beds.csv,1,Wilmington
14544,2018-02-15,Mobile/Manufactured Home,2275 W 25Th St #72,San Pedro,CA,90732.0,420000,2.0,1.75,1640.0,79801.5,,722.0,256.0,,18-299412,33.7232416,-118.3297078,san-pedro_nosfh-nocondo-notownhouse.csv,2,San Pedro
16883,2018-09-24,Mobile/Manufactured Home,22516 Normandie Unit B43,Torrance,CA,90502.0,22000,1.0,1.0,1169.7239057239058,79801.5,,500.0,,895.0,18-343458,33.821781,-118.29781100000001,torrance_nosfh-notownhome-nocondo.csv,2,Torrance
17346,2019-08-14,Condo/Co-op,2414 Mathews Ave #3,Redondo Beach,CA,90278.0,835000,2.0,2.5,1484.0,65254.0,,176.0,563.0,150.0,19-481828,33.8735529,-118.3672983,redondo_condos.csv,2,Redondo Beach
